=> using pre-trained model 'resnet34'
Epoch: [0][204/259]	Time 1.878 (1.922)	Data 0.001 (0.008)	Loss 0.1272 (0.1609)	
Epoch: [0][205/259]	Time 1.874 (1.922)	Data 0.001 (0.007)	Loss 0.1274 (0.1608)	
Epoch: [0][206/259]	Time 1.970 (1.922)	Data 0.001 (0.007)	Loss 0.1245 (0.1606)	
Epoch: [0][207/259]	Time 1.904 (1.922)	Data 0.001 (0.007)	Loss 0.1455 (0.1605)	
Epoch: [0][208/259]	Time 1.878 (1.922)	Data 0.001 (0.007)	Loss 0.1330 (0.1604)	
Epoch: [0][209/259]	Time 1.925 (1.922)	Data 0.001 (0.007)	Loss 0.1209 (0.1602)	
Epoch: [0][210/259]	Time 1.848 (1.921)	Data 0.001 (0.007)	Loss 0.1344 (0.1601)	
Epoch: [0][211/259]	Time 1.846 (1.921)	Data 0.001 (0.007)	Loss 0.1323 (0.1599)	
Epoch: [0][212/259]	Time 1.908 (1.921)	Data 0.001 (0.007)	Loss 0.1309 (0.1598)	
Epoch: [0][213/259]	Time 1.923 (1.921)	Data 0.001 (0.007)	Loss 0.1191 (0.1596)	
Epoch: [0][214/259]	Time 1.858 (1.921)	Data 0.001 (0.007)	Loss 0.1269 (0.1595)	
Epoch: [0][215/259]	Time 1.978 (1.921)	Data 0.001 (0.007)	Loss 0.1293 (0.1593)	
Epoch: [0][216/259]	Time 1.938 (1.921)	Data 0.001 (0.007)	Loss 0.1203 (0.1591)	
Epoch: [0][217/259]	Time 1.941 (1.921)	Data 0.001 (0.007)	Loss 0.1311 (0.1590)	
Epoch: [0][218/259]	Time 1.960 (1.921)	Data 0.001 (0.007)	Loss 0.1218 (0.1588)	
Epoch: [0][219/259]	Time 1.892 (1.921)	Data 0.001 (0.007)	Loss 0.1369 (0.1587)	
Epoch: [0][220/259]	Time 1.943 (1.921)	Data 0.001 (0.007)	Loss 0.1136 (0.1585)	
Epoch: [0][221/259]	Time 1.852 (1.921)	Data 0.001 (0.007)	Loss 0.1280 (0.1584)	
Epoch: [0][222/259]	Time 1.922 (1.921)	Data 0.001 (0.007)	Loss 0.1435 (0.1583)	
Epoch: [0][223/259]	Time 1.898 (1.921)	Data 0.001 (0.007)	Loss 0.1345 (0.1582)	
Epoch: [0][224/259]	Time 1.833 (1.920)	Data 0.001 (0.007)	Loss 0.1353 (0.1581)	
Epoch: [0][225/259]	Time 1.894 (1.920)	Data 0.000 (0.007)	Loss 0.1307 (0.1580)	
Epoch: [0][226/259]	Time 1.859 (1.920)	Data 0.000 (0.007)	Loss 0.1212 (0.1578)	
Epoch: [0][227/259]	Time 1.935 (1.920)	Data 0.000 (0.007)	Loss 0.1178 (0.1577)	
Epoch: [0][228/259]	Time 1.919 (1.920)	Data 0.001 (0.007)	Loss 0.1217 (0.1575)	
